,x,y,value
113,Avg_Open_To_Buy,Dependent_count,0.068
114,Avg_Open_To_Buy,Months_on_book,0.007
115,Avg_Open_To_Buy,Total_Relationship_Count,-0.073
116,Avg_Open_To_Buy,Months_Inactive_12_mon,-0.017
117,Avg_Open_To_Buy,Contacts_Count_12_mon,0.026
118,Avg_Open_To_Buy,Credit_Limit,0.996
119,Avg_Open_To_Buy,Total_Revolving_Bal,-0.047
120,Avg_Open_To_Buy,Avg_Open_To_Buy,1.0
121,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,0.008
122,Avg_Open_To_Buy,Total_Trans_Amt,0.166
123,Avg_Open_To_Buy,Total_Trans_Ct,0.071
124,Avg_Open_To_Buy,Total_Ct_Chng_Q4_Q1,-0.01
125,Avg_Open_To_Buy,Avg_Utilization_Ratio,-0.539
126,Total_Amt_Chng_Q4_Q1,Customer_Age,-0.062
127,Total_Amt_Chng_Q4_Q1,Dependent_count,-0.035
128,Total_Amt_Chng_Q4_Q1,Months_on_book,-0.049
129,Total_Amt_Chng_Q4_Q1,Total_Relationship_Count,0.05
130,Total_Amt_Chng_Q4_Q1,Months_Inactive_12_mon,-0.032
131,Total_Amt_Chng_Q4_Q1,Contacts_Count_12_mon,-0.024
132,Total_Amt_Chng_Q4_Q1,Credit_Limit,0.013
133,Total_Amt_Chng_Q4_Q1,Total_Revolving_Bal,0.058
134,Total_Amt_Chng_Q4_Q1,Avg_Open_To_Buy,0.008
135,Total_Amt_Chng_Q4_Q1,Total_Amt_Chng_Q4_Q1,1.0
136,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,0.04
137,Total_Amt_Chng_Q4_Q1,Total_Trans_Ct,0.005
138,Total_Amt_Chng_Q4_Q1,Total_Ct_Chng_Q4_Q1,0.384
139,Total_Amt_Chng_Q4_Q1,Avg_Utilization_Ratio,0.035
140,Total_Trans_Amt,Customer_Age,-0.046
141,Total_Trans_Amt,Dependent_count,0.025
142,Total_Trans_Amt,Months_on_book,-0.039
143,Total_Trans_Amt,Total_Relationship_Count,-0.347
144,Total_Trans_Amt,Months_Inactive_12_mon,-0.037
145,Total_Trans_Amt,Contacts_Count_12_mon,-0.113
146,Total_Trans_Amt,Credit_Limit,0.172
147,Total_Trans_Amt,Total_Revolving_Bal,0.064
148,Total_Trans_Amt,Avg_Open_To_Buy,0.166
149,Total_Trans_Amt,Total_Amt_Chng_Q4_Q1,0.04
150,Total_Trans_Amt,Total_Trans_Amt,1.0
151,Total_Trans_Amt,Total_Trans_Ct,0.807
152,Total_Trans_Amt,Total_Ct_Chng_Q4_Q1,0.086
153,Total_Trans_Amt,Avg_Utilization_Ratio,-0.083
154,Total_Trans_Ct,Customer_Age,-0.067
155,Total_Trans_Ct,Dependent_count,0.05
156,Total_Trans_Ct,Months_on_book,-0.05
157,Total_Trans_Ct,Total_Relationship_Count,-0.242
158,Total_Trans_Ct,Months_Inactive_12_mon,-0.043
159,Total_Trans_Ct,Contacts_Count_12_mon,-0.152
160,Total_Trans_Ct,Credit_Limit,0.076
161,Total_Trans_Ct,Total_Revolving_Bal,0.056
162,Total_Trans_Ct,Avg_Open_To_Buy,0.071
163,Total_Trans_Ct,Total_Amt_Chng_Q4_Q1,0.005
164,Total_Trans_Ct,Total_Trans_Amt,0.807
165,Total_Trans_Ct,Total_Trans_Ct,1.0
166,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,0.112
167,Total_Trans_Ct,Avg_Utilization_Ratio,0.003
168,Total_Ct_Chng_Q4_Q1,Customer_Age,-0.012
169,Total_Ct_Chng_Q4_Q1,Dependent_count,0.011
170,Total_Ct_Chng_Q4_Q1,Months_on_book,-0.014
171,Total_Ct_Chng_Q4_Q1,Total_Relationship_Count,0.041
172,Total_Ct_Chng_Q4_Q1,Months_Inactive_12_mon,-0.039
173,Total_Ct_Chng_Q4_Q1,Contacts_Count_12_mon,-0.095
174,Total_Ct_Chng_Q4_Q1,Credit_Limit,-0.002
175,Total_Ct_Chng_Q4_Q1,Total_Revolving_Bal,0.09
176,Total_Ct_Chng_Q4_Q1,Avg_Open_To_Buy,-0.01
177,Total_Ct_Chng_Q4_Q1,Total_Amt_Chng_Q4_Q1,0.384
178,Total_Ct_Chng_Q4_Q1,Total_Trans_Amt,0.086
179,Total_Ct_Chng_Q4_Q1,Total_Trans_Ct,0.112
180,Total_Ct_Chng_Q4_Q1,Total_Ct_Chng_Q4_Q1,1.0
181,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,0.074
182,Avg_Utilization_Ratio,Customer_Age,0.007
183,Avg_Utilization_Ratio,Dependent_count,-0.037
184,Avg_Utilization_Ratio,Months_on_book,-0.008
185,Avg_Utilization_Ratio,Total_Relationship_Count,0.068
186,Avg_Utilization_Ratio,Months_Inactive_12_mon,-0.008
187,Avg_Utilization_Ratio,Contacts_Count_12_mon,-0.055
188,Avg_Utilization_Ratio,Credit_Limit,-0.483
189,Avg_Utilization_Ratio,Total_Revolving_Bal,0.624
190,Avg_Utilization_Ratio,Avg_Open_To_Buy,-0.539
191,Avg_Utilization_Ratio,Total_Amt_Chng_Q4_Q1,0.035
192,Avg_Utilization_Ratio,Total_Trans_Amt,-0.083
193,Avg_Utilization_Ratio,Total_Trans_Ct,0.003
194,Avg_Utilization_Ratio,Total_Ct_Chng_Q4_Q1,0.074
195,Avg_Utilization_Ratio,Avg_Utilization_Ratio,1.0
